,price,amount
0,1210.5,27412.0
1,1210.45,1670.0
2,1210.4,2410.0
3,1210.3,7445.0
4,1210.25,10705.0
5,1210.2,4558.0
6,1210.15,4500.0
7,1210.1,20340.0
8,1210.05,5108.0
9,1210.0,59052.0
10,1208.3,155.0
11,1204.7,155.0
12,1203.45,2000.0
13,1203.4,930.0
14,1201.1,155.0
15,1195.6,2070.0
16,1189.05,155.0
17,1168.15,155.0
18,1132.5,155.0
19,1061.2,153.0
20,1034.7,154.0
21,1000.0,52500.0
22,995.1,154.0
23,982.1,26.0
24,915.85,154.0
25,900.0,4510.0
26,800.0,26400.0
27,751.95,3521.0
28,750.8,386.0
29,701.0,45.0
30,691.0,49.0
31,681.0,53.0
32,671.0,56.0
33,661.0,59.0
34,651.0,61.0
35,641.0,61.0
36,631.0,62.0
37,623.45,915.0
38,621.0,62.0
39,611.0,60.0
40,605.25,1.0
41,603.9,6257.0
42,601.0,58.0
43,600.0,2500.0
44,591.0,55.0
45,581.0,52.0
46,571.0,47.0
47,561.0,43.0
48,551.0,37.0
49,541.0,32.0
0,1210.7,199.0
1,1210.5,9139.0
2,1210.45,7000.0
3,1210.4,7440.0
4,1210.3,5440.0
5,1210.25,13166.0
6,1210.2,5001.0
7,1210.15,5963.0
8,1210.1,72486.0
9,1210.05,22704.0
10,1208.3,155.0
11,1204.7,155.0
12,1203.45,2000.0
13,1203.4,930.0
14,1201.1,155.0
15,1195.6,2070.0
16,1189.05,155.0
17,1168.15,155.0
18,1132.5,155.0
19,1061.2,153.0
20,1034.7,154.0
21,1000.0,52500.0
22,995.1,154.0
23,982.1,26.0
24,915.85,154.0
25,900.0,4510.0
26,800.0,26400.0
27,751.95,3521.0
28,750.8,386.0
29,701.0,45.0
30,691.0,49.0
31,681.0,53.0
32,671.0,56.0
33,661.0,59.0
34,651.0,61.0
35,641.0,61.0
36,631.0,62.0
37,623.45,915.0
38,621.0,62.0
39,611.0,60.0
40,605.35,1.0
41,603.9,6257.0
42,601.0,58.0
43,600.0,2500.0
44,591.0,55.0
45,581.0,52.0
46,571.0,47.0
47,561.0,43.0
48,551.0,37.0
49,541.0,32.0
0,1208.55,16955.0
1,1208.5,4882.0
2,1208.45,4689.0
3,1208.4,11924.0
4,1208.35,9378.0
5,1208.3,4973.0
6,1208.25,6025.0
7,1208.2,45914.0
8,1208.15,1134.0
9,1208.1,67258.0
10,1204.7,155.0
11,1203.45,2000.0
12,1203.4,930.0
13,1201.1,155.0
14,1195.6,2070.0
15,1189.05,155.0
16,1168.15,155.0
17,1132.5,155.0
18,1061.2,153.0
19,1034.7,154.0
20,1000.0,52500.0
21,995.1,154.0
22,982.1,26.0
23,915.85,154.0
24,900.0,4510.0
25,800.0,26400.0
26,751.95,3521.0
27,750.8,386.0
28,701.0,45.0
29,691.0,49.0
30,681.0,53.0
31,671.0,56.0
32,661.0,59.0
33,651.0,61.0
34,641.0,61.0
35,631.0,62.0
36,623.45,915.0
37,621.0,62.0
38,611.0,60.0
39,604.25,1.0
40,603.9,6257.0
41,601.0,58.0
42,600.0,2500.0
43,591.0,55.0
44,581.0,52.0
45,571.0,47.0
46,561.0,43.0
47,551.0,37.0
48,541.0,32.0
49,531.0,27.0
0,1208.55,16956.0
1,1208.5,4882.0
2,1208.45,4689.0
3,1208.4,14002.0
4,1208.35,4876.0
5,1208.3,4973.0
6,1208.25,8449.0
7,1208.2,45914.0
8,1208.15,1134.0
9,1208.1,67258.0
10,1204.7,155.0
11,1203.45,2000.0
12,1203.4,930.0
13,1201.1,155.0
14,1195.6,2070.0
15,1189.05,155.0
16,1168.15,155.0
17,1132.5,155.0
18,1061.2,153.0
19,1034.7,154.0
20,1000.0,52500.0
21,995.1,154.0
22,982.1,26.0
23,915.85,154.0
24,900.0,4510.0
25,800.0,26400.0
26,751.95,3521.0
27,750.8,386.0
28,701.0,45.0
29,691.0,49.0
30,681.0,53.0
31,671.0,56.0
32,661.0,59.0
33,651.0,61.0
34,641.0,61.0
35,631.0,62.0
36,623.45,915.0
37,621.0,62.0
38,611.0,60.0
39,604.25,1.0
40,603.9,6257.0
41,601.0,58.0
42,600.0,2500.0
43,591.0,55.0
44,581.0,52.0
45,571.0,47.0
46,561.0,43.0
47,551.0,37.0
48,541.0,32.0
49,531.0,27.0
0,1208.55,16956.0
1,1208.5,4882.0
2,1208.45,4689.0
3,1208.4,14002.0
4,1208.35,4876.0
5,1208.3,4973.0
6,1208.25,8449.0
7,1208.2,45914.0
8,1208.15,1134.0
9,1208.1,67258.0
10,1204.7,155.0
11,1203.45,2000.0
12,1203.4,930.0
13,1201.1,155.0
14,1195.6,2070.0
15,1189.05,155.0
16,1168.15,155.0
17,1132.5,155.0
18,1061.2,153.0
19,1034.7,154.0
20,1000.0,52500.0
21,995.1,154.0
22,982.1,26.0
23,915.85,154.0
24,900.0,4510.0
25,800.0,26400.0
26,751.95,3521.0
27,750.8,386.0
28,701.0,45.0
29,691.0,49.0
30,681.0,53.0
31,671.0,56.0
32,661.0,59.0
33,651.0,61.0
34,641.0,61.0
35,631.0,62.0
36,623.45,915.0
37,621.0,62.0
38,611.0,60.0
39,604.25,1.0
40,603.9,6257.0
41,601.0,58.0
42,600.0,2500.0
43,591.0,55.0
44,581.0,52.0
45,571.0,47.0
46,561.0,43.0
47,551.0,37.0
48,541.0,32.0
49,531.0,27.0
0,1208.55,16956.0
1,1208.5,4882.0
2,1208.45,4689.0
3,1208.4,14002.0
4,1208.35,4876.0
5,1208.3,4973.0
6,1208.25,8449.0
7,1208.2,45914.0
8,1208.15,1134.0
9,1208.1,67258.0
10,1204.7,155.0
11,1203.45,2000.0
12,1203.4,930.0
13,1201.1,155.0
14,1195.6,2070.0
15,1189.05,155.0
16,1168.15,155.0
17,1132.5,155.0
18,1061.2,153.0
19,1034.7,154.0
20,1000.0,52500.0
21,995.1,154.0
22,982.1,26.0
23,915.85,154.0
24,900.0,4510.0
25,800.0,26400.0
26,751.95,3521.0
27,750.8,386.0
28,701.0,45.0
29,691.0,49.0
30,681.0,53.0
31,671.0,56.0
32,661.0,59.0
33,651.0,61.0
34,641.0,61.0
35,631.0,62.0
36,623.45,915.0
37,621.0,62.0
38,611.0,60.0
39,604.25,1.0
40,603.9,6257.0
41,601.0,58.0
42,600.0,2500.0
43,591.0,55.0
44,581.0,52.0
45,571.0,47.0
46,561.0,43.0
47,551.0,37.0
48,541.0,32.0
49,531.0,27.0
0,1208.65,25175.0
1,1208.5,5804.0
2,1208.45,7600.0
3,1208.4,9692.0
4,1208.35,4600.0
5,1208.3,5101.0
6,1208.25,6161.0
7,1208.2,79140.0
8,1208.15,29600.0
9,1208.1,1208.0
10,1204.7,155.0
11,1203.45,2000.0
12,1203.4,930.0
13,1201.1,155.0
14,1195.6,2070.0
15,1189.05,155.0
16,1168.15,155.0
17,1132.5,155.0
18,1061.2,153.0
19,1034.7,154.0
20,1000.0,52500.0
21,995.1,154.0
22,982.1,26.0
23,915.85,154.0
24,900.0,4510.0
25,800.0,26400.0
26,751.95,3521.0
27,750.8,386.0
28,701.0,45.0
29,691.0,49.0
30,681.0,53.0
31,671.0,56.0
32,661.0,59.0
33,651.0,61.0
34,641.0,61.0
35,631.0,62.0
36,623.45,915.0
37,621.0,62.0
38,611.0,60.0
39,604.35,1.0
40,603.9,6257.0
41,601.0,58.0
42,600.0,2500.0
43,591.0,55.0
44,581.0,52.0
45,571.0,47.0
46,561.0,43.0
47,551.0,37.0
48,541.0,32.0
49,531.0,27.0
